fuel_id,frac_A,frac_B,phi,temperature_K,pressure_bar,lbv_cm_per_s,source,,,
ethyl_valerate,1,0,0.697,300,1,21,experimental_data,,,
ethyl_valerate,1,0,0.796,300,1,26.7,experimental_data,,,
ethyl_valerate,1,0,0.998,300,1,35.9,experimental_data,,,
ethyl_valerate,1,0,1.1,300,1,37.1,experimental_data,,,
ethyl_valerate,1,0,1.2,300,1,34.4,experimental_data,,,
ethyl_valerate,1,0,1.3,300,1,28.7,experimental_data,,,
ethyl_valerate,1,0,1.4,300,1,22.3,experimental_data,,,
ethyl_valerate,1,0,0.696,423,1,41.4,experimental_data,,,
ethyl_valerate,1,0,0.796,423,1,49.8,experimental_data,,,
ethyl_valerate,1,0,0.897,423,1,57,experimental_data,,,
ethyl_valerate,1,0,0.996,423,1,62.1,experimental_data,,,
ethyl_valerate,1,0,1.1,423,1,63,experimental_data,,,
ethyl_valerate,1,0,1.2,423,1,58.8,experimental_data,,,
ethyl_valerate,1,0,1.3,423,1,52.1,experimental_data,,,
ethyl_valerate,1,0,1.4,423,1,43.6,experimental_data,,,
ethyl_valerate,1,0,0.694,610,1,85.3,experimental_data,,,
ethyl_valerate,1,0,0.796,610,1,95.9,experimental_data,,,
ethyl_valerate,1,0,0.892,610,1,103,experimental_data,,,
ethyl_valerate,1,0,0.995,610,1,108,experimental_data,,,
ethyl_valerate,1,0,1.1,610,1,108,experimental_data,,,
ethyl_valerate,1,0,1.19,610,1,1040,experimental_data,,,
ethyl_valerate,1,0,1.3,610,1,95.6,experimental_data,,,
ethyl_valerate,1,0,1.4,610,1,85.3,experimental_data,,,
ethyl_valerate,1,0,0.696,423,1,41.6,experimental_data,,,
ethyl_valerate,1,0,0.796,423,1,50,experimental_data,,,
ethyl_valerate,1,0,0.895,423,1,57.1,experimental_data,,,
ethyl_valerate,1,0,0.999,423,1,61.4,experimental_data,,,
ethyl_valerate,1,0,1.098,423,1,62.4,experimental_data,,,
ethyl_valerate,1,0,1.2,423,1,58.6,experimental_data,,,
ethyl_valerate,1,0,1.298,423,1,51.6,experimental_data,,,
ethyl_valerate,1,0,1.397,423,1,42.7,experimental_data,,,
ethyl_valerate,1,0,0.697,610,1,85.9,experimental_data,,,
ethyl_valerate,1,0,0.799,610,1,94.6,experimental_data,,,
ethyl_valerate,1,0,0.897,610,1,104,experimental_data,,,
ethyl_valerate,1,0,1,610,1,107.6,experimental_data,,,
ethyl_valerate,1,0,1.096,610,1,108.3,experimental_data,,,
ethyl_valerate,1,0,1.2,610,1,102.9,experimental_data,,,
ethyl_valerate,1,0,0.7,120.3,1,141.4,experimental_data,,,
ethyl_valerate,1,0,0.7,154.8,1,157.9,experimental_data,,,
ethyl_valerate,1,0,0.7,209.7,1,184.8,experimental_data,,,
ethyl_valerate,1,0,0.7,254.7,1,204.2,experimental_data,,,
ethyl_valerate,1,0,1,180.6,1,143.7,experimental_data,,,
ethyl_valerate,1,0,1,214.8,1,164.3,experimental_data,,,
ethyl_valerate,1,0,1,274.5,1,198.1,experimental_data,,,
ethyl_valerate,1,0,1,319.5,1,222,experimental_data,,,
ethyl_valerate,1,0,1.4,127.2,1,141.2,experimental_data,,,
ethyl_valerate,1,0,1.4,159,1,158.2,experimental_data,,,
ethyl_valerate,1,0,1.4,213.6,1,184.8,experimental_data,,,
ethyl_valerate,1,0,1.4,255.9,1,203.5,experimental_data,,,
propane_air,1,0,0.69,300,1,21.608,experimental_data,,,
propane_air,1,0,0.791,300,1,29.608,experimental_data,,,
propane_air,1,0,0.892,300,1,34.873,experimental_data,,,
propane_air,1,0,0.991,300,1,37.81,experimental_data,,,
propane_air,1,0,1.09,300,1,39.734,experimental_data,,,
